stopID,stopName,lat,lon
14707,"Font Blvd & Gonzalez Dr",37.71678,-122.47576
14709,"Font Blvd & Juan Bautista Cir",37.7176999,-122.47708
14710,"Font Blvd & Serrano Dr",37.7196,-122.47961
14712,"Font Blvd & Tapia Dr",37.72068,-122.4809
14715,"Frederick St & Ashbury St",37.76726,-122.4466899
14716,"Frederick St & Ashbury St",37.7671499,-122.44646
14717,"Frederick St & Clayton St",37.7671,-122.4479199
14726,"Ferry Plaza",37.7940499,-122.39345
14727,"Ferry Plaza",37.7938999,-122.39345
14729,"Marina Blvd & Laguna St",37.8051199,-122.43218
14730,"Fulton St & 4th Ave",37.77394,-122.4619799
14731,"Fulton St & 4th Ave",37.7738399,-122.46125
14732,"Fulton St & 6th Ave",37.7736699,-122.46411
14733,"Fulton St & 6th Ave",37.7735299,-122.46384
14734,"Fulton St & 8th Ave",37.7734699,-122.46605
14735,"Fulton St & 8th Ave",37.77332,-122.4657399
14736,"Fulton St & 10th Ave",37.77335,-122.4683899
14737,"Fulton St & 10th Ave",37.77325,-122.4676099
14742,"Fulton St & 18th Ave",37.77296,-122.4767799
14746,"Fulton St & 22nd Ave",37.77276,-122.4813399
14747,"Fulton St & 22nd Ave",37.77266,-122.4806099
14748,"Fulton St & 25th Ave",37.7725999,-122.48452
14749,"Fulton St & 25th Ave",37.7725099,-122.4838
14751,"Fulton St & 28th Ave",37.77235,-122.4871699
14753,"Fulton St & 30th Ave",37.77224,-122.4891899
14780,"Great Hwy & Ocean Beach",37.76737,-122.51046
14787,"Glen Park Station",37.7325299,-122.43342
14788,"Glen Park Station",37.7323999,-122.43385
14789,"Gonzalez Dr & Cardenas Ave",37.7190999,-122.4756299
14790,"Gonzalez Dr & Font Blvd",37.71669,-122.47591
14791,"Gonzalez Dr & Josepha Ave",37.7159799,-122.47717
14795,"1650 Geneva Ave",37.7118699,-122.4281899
14796,"1650 Geneva Ave",37.71174,-122.42829
14798,"1721 Geneva Ave",37.7110799,-122.4262699
14799,"1701 Geneva Ave",37.71072,-122.42576
14803,"Balboa Park Bart Station",37.7210499,-122.4472199
14805,"Balboa Park Bart Station",37.72086,-122.44723
